Madonna,Michael Jackson,Drake,Rihanna,Lady Gaga
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,2
0,0,0,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,8,1,2
0,0,8,1,2
0,0,8,1,2
0,0,8,1,2
0,0,8,2,2
0,0,8,2,2
0,0,8,2,2
0,0,8,2,2
0,0,8,2,2
0,0,8,2,2
0,0,8,2,2
0,0,8,2,2
0,0,8,2,2
0,0,8,2,2
0,0,8,2,2
0,0,8,2,2
0,0,8,2,2
0,0,8,2,2
0,0,8,2,2
1,0,8,2,2
1,0,8,2,2
1,0,8,2,2
1,0,8,2,2
1,0,8,2,2
1,0,8,2,2
1,0,8,2,2
1,0,8,2,2
1,0,8,2,5
1,0,8,2,5
1,0,8,2,5
1,0,8,2,5
1,0,8,3,5
1,0,8,3,5
1,0,8,3,5
1,0,8,3,5
1,0,8,3,5
1,0,8,3,5
1,0,8,3,5
1,0,8,3,5
1,0,8,3,5
1,0,8,3,5
1,0,8,3,5
1,0,8,3,5
1,0,8,3,5
1,0,8,3,5
1,0,8,3,5
1,0,8,3,5
1,0,8,3,5
1,0,8,3,5
1,0,8,3,5
1,0,8,3,5
1,0,8,3,5
1,0,8,3,5
1,0,8,3,6
1,0,8,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,9,3,6
1,0,10,3,7
1,0,10,3,7
1,0,10,3,7
1,0,10,3,8
1,0,10,3,8
1,0,10,3,8
1,0,10,3,8
1,0,10,3,8
1,0,10,3,8
1,0,10,3,9
1,0,10,3,9
1,1,10,3,9
1,1,10,3,9
1,1,10,3,9
1,1,10,3,9
1,1,10,3,9
1,1,10,3,9
1,1,10,3,9
1,1,10,3,9
1,1,10,3,9
1,1,11,3,9
1,1,11,3,9
1,1,11,3,9
1,1,11,3,9
1,1,11,3,9
1,1,11,3,9
1,1,11,3,9
1,1,11,3,9
1,1,11,3,9
1,1,11,4,9
1,1,11,4,9
1,1,11,4,9
1,1,11,4,10
1,1,11,4,10
1,1,11,4,10
1,1,11,4,10
1,1,11,4,10
1,1,11,4,10
1,1,11,4,10
1,1,11,4,10
1,1,11,4,10
1,1,11,4,10
1,1,11,5,10
1,1,11,5,10
1,1,11,5,10
1,1,11,5,10
1,1,11,5,10
1,1,11,5,10
1,1,11,5,10
1,1,11,5,10
1,1,11,5,10
1,1,11,5,10
1,1,11,5,10
1,1,11,5,10
1,1,11,5,10
1,1,11,5,10
1,1,11,5,10
1,1,11,5,10
1,1,11,5,10
1,1,11,5,10
1,1,11,5,10
2,1,11,5,10
2,1,11,5,10
2,1,11,5,10
2,1,11,5,10
2,1,11,5,10
2,1,11,6,10
2,1,11,6,10
2,1,11,6,10
2,1,11,6,10
2,1,11,6,10
2,1,11,6,10
2,1,11,7,10
2,1,11,7,10
2,1,11,7,10
2,1,11,7,10
2,1,11,7,10
2,1,11,7,10
2,1,11,7,10
2,1,11,8,10
2,1,11,8,10
2,1,11,8,10
2,1,11,8,10
2,1,11,8,11
2,1,11,8,11
2,1,11,8,11
2,1,11,8,11
2,1,11,8,11
2,1,11,8,11
2,1,11,8,11
2,1,11,8,11
2,1,11,8,11
2,1,11,8,11
2,1,11,8,11
2,1,11,8,11
2,1,11,8,11
2,1,11,8,11
